Question_ZH-PY,A_ZH-PY,B_ZH-PY,C_ZH-PY,D_ZH-PY,Answer_ZH-PY,Subject_ZH-PY,Subcategory_ZH-PY
jin suo xing huo bi zheng ce hui shi ming yi li lv 、 zong xu qiu 、 chan chu he jia ge shui ping fa sheng shen me bian hua ？ ming yi li lv       zong xu qiu       chan chu       jia ge shui ping,xia jiang       shang sheng       shang sheng       shang sheng,xia jiang       xia jiang       xia jiang       shang sheng,shang sheng       xia jiang       xia jiang       shang sheng,shang sheng       xia jiang       xia jiang       xia jiang,D,high_school_macroeconomics,economics
lao dong xu qiu qu xian yuan zi,shi chang lao dong xu qiu qu xian,lao dong sheng chan de chan chu de xu qiu qu xian,qi ye de lao dong gong ji qu xian,lao dong shi chang de jun heng gong zi,B,high_school_microeconomics,economics
ru guo lao dong zong chan liang zheng zai yi yue lai yue kuai de su du zeng zhang ，,lao dong bian ji chan liang zai shang sheng 。,lao dong bian ji chan liang chu yu zui xiao zhi 。,lao dong bian ji chan liang chu yu zui da zhi 。,bian ji cheng ben zheng zai shang sheng 。,A,high_school_microeconomics,economics
huo bi zhu yi zhe ren wei ，V  he  Q  shi,bu bian de 。,wen ding de 。,ke bian de 。,dui yu li jie huo bi ru he ying xiang jing ji bing bu zhong yao 。,B,high_school_macroeconomics,economics
xia lie na yi xiang dai biao le qi ye de long duan ding jia huo shi chang zhi pei li de du liang ， ji zhi shu de zhi yue da ， qi ye de shi chang ding jia neng li yue da ？,(MC-P)/MC,(MC-P)/P,(P-MC)/P,(P-MC)/MC,C,high_school_microeconomics,economics
Ray  he  Dorothy  du hui zuo fan ， bing qie ye dou ke yi zai xing qi liu xia wu zai hua yuan li ba cao 。 dui yu zuo fan de mei yi ge xiao shi ，Ray  ke yi ba  50  gen cao ，Dorothy  ke yi ba  100  gen cao 。 ji yu zhe xie xin xi ，,Ray  ba cao ， yin wei ta zai zuo fan fang mian you jue dui you shi 。,Dorothy  ba cao ， yin wei ta zai zuo fan fang mian you jue dui you shi 。,Dorothy  zuo fan ， yin wei ta zai zuo fan fang mian you bi jiao you shi 。,Ray  zuo fan ， yin wei ta zai zuo fan fang mian you bi jiao you shi 。,D,high_school_microeconomics,economics
"zai xia lie na zhong qing kuang xia ， zi zhu chou yang fa you yu chun mo ni ？

i)  ruo xi wang shi yan shu ju de fen bu te xing 

 yu mou xie shi ji shu ju de fen bu te xing xiang tong 


ii)  ruo xi wang que qie di zhi dao shi yan zhong 

 shu ju de fen bu te xing 


iii)  ruo shi ji shu ju de fen bu te xing wei zhi 


iv)  ruo ke yong de shi ji shu ju yang ben fei chang xiao",jin  (ii)  he  (iv),jin  (i)  he  (iii),jin  (i)、(ii)  he  (iv),jin  (i)、(ii)、(iii)  he  (iv),B,econometrics,economics
jia she shi ji  GDP  zeng jia 。 wo men ke yi hao wu yi wen di de chu,jia ge shang zhang de jie lun 。,jiu ye lv ti gao de jie lun 。,sheng chan li ti gao de jie lun 。,jia ge he / huo chan chu ti gao de jie lun 。,C,high_school_macroeconomics,economics
fang zi de jia ge zui hao yong na zhong shu zi lai miao shu ？,li san,ji shu,xu shu,biao cheng shu,B,econometrics,economics
yong shen me lai bao hu  SCR  mian shou guo liu ying xiang ？,CB  he rong duan qi 。,re chen 。,jian zhen dian lu 。,dian ya qian wei zhuang zhi 。,A,electrical_engineering,engineering
ruo yi ge te ding wang luo zhong de suo you yuan su dou shi xian xing de ， ze die jia ding li cheng li de tiao jian shi ： li ci wei,jin  DC,jin  AC,AC  huo  DC,yi ge mai chong,C,electrical_engineering,engineering
dian li qu dong zheng bian de yue lai yue shou huan ying ， yin wei,yi xia quan bu 。,ta ti gong ping hua qie rong yi de kong zhi 。,ta de cheng ben geng pian yi 。,ta jian dan ke kao 。,A,electrical_engineering,engineering
dui yu  SCR  shan ji ， yin ji te xing shi yi tiao  130  de zhi xian 。 ze dui yu  15 V  chu fa yuan rong liang 、0.5 W  de yun xu shan ji gong lv hao san ， shan ji yuan dian zu shi duo shao ？,111.9  ou mu,11.19  ou mu,108  ou mu,115  ou mu,A,electrical_engineering,engineering
zai yi ge  4  mi  * 3  mi de ju xing fang jian li ， yao da dao  50  lei ke si de ping jun zhao du ， xu yao duo shao zhan  300  liu ming de deng ？,2,4,5,6,A,electrical_engineering,engineering
yi xia na yi zhong zhen dang qi yong yu di pin (LF) ying yong ？,LC  zhen dang qi,RC  zhen dang qi,LC  he  RC  zhen dang qi,wu,B,electrical_engineering,engineering
ban jing wei  1  mi 、 biao mian dian he mi du wei  20  ku lun / ping fang mi de jin shu biao mian feng bi zai yi ge  10  mi de zheng fang ti zhong 。 chui zhi yu li fang ti biao mian de zong xiang wai dian wei yi shi,40π  ku lun 。,80π  ku lun 。,10π  ku lun 。,yi shang dou bu shi 。,B,electrical_engineering,engineering
deng xia  5  mi chu de zhao du shi  6  lei ke si 。 zhe zhan deng de zhu guang gong lv shi,30,140,150,200,C,electrical_engineering,engineering
si ge  40 µF  de dian rong bing lian ， xi tong de deng xiao dian rong wei,160 µF,10 µF,40 µF,5 µF,A,electrical_engineering,engineering
zai  Intel 8085A  wei chu li qi zhong ，ALE  xin hao diao gao shi wei le,shi shu ju zong xian ke yong zuo di jie di zhi zong xian,cong shu ju zong xian suo cun shu ju  D0-D7,jin yong shu ju zong xian,shi xian shang mian lie chu de suo you gong neng,A,electrical_engineering,engineering
cun chu yi ge  BCD  shu zi xu yao duo shao wei ？,1,2,3,4,D,electrical_engineering,engineering
dao ti de dian zu lv qu jue yu,dao ti de mian ji 。,dao ti de chang du 。,cai liao lei xing 。,yi shang dou bu shi 。,C,electrical_engineering,engineering
zai shuang gong lv biao fa de gong lv ce liang zhong ， ru guo jin yong yi tai gong lv biao ce liang zong gong lv ， ze xi tong de gong lv yin zi wei,0,0.5。,1,yi shang dou bu shi 。,B,electrical_engineering,engineering
san re pian suo cai yong de cai liao ying ju bei,gao re dao lv 。,da bi biao mian ji 。,gao rong dian 。,yi shang dou shi 。,D,electrical_engineering,engineering
li xiang dian gan qi de gong lv hao san shi,zui da,zui xiao,ling,you xian zhi,C,electrical_engineering,engineering
ci tong liang de dan wei shi,niu dun,an pei za,wei bo,te si la,C,electrical_engineering,engineering
zai cheng xu zhong ， zai zhuang pei guo cheng zhong mei you bei fan yi cheng ji qi zhi ling de yi zu ming ling jiao shen me ？,zhu yi jian,zhi ling fu,biao shi fu,cao zuo shu,B,electrical_engineering,engineering
shu dian xian lu de wen ding xing ke yi shen me ti gao ？,pang lu dian rong qi,chuan lian dian rong qi,bing lian dian kang qi,A  he  B,D,electrical_engineering,engineering
yi xia na ge shi zhen dang qi de zhu yao gong neng zhi yi ？,chan sheng zheng xian zhen dang,chan sheng fei zheng xian bo xing,yi heng ding de zhen fu he te ding de pin lv chan sheng chi xu de zhen dang,yi shang dou bu shi,C,electrical_engineering,engineering
dian zu han de jin shu biao mian bi xu shi,cu cao de 。,gan jing de 。,nong shi de 。,you se de 。,B,electrical_engineering,engineering
yi ge zhi liu dian ji cai yong liu ji bo rao zu 。 ze bing xing lu jing de ge shu shi duo shao ？,6,4,2,1,C,electrical_engineering,engineering
gui he zhe shi ________ yuan su 。,san jia,wu jia,liu jia,si jia,D,electrical_engineering,engineering
fa chu hong se ying guang de ying guang cai liao jiao shen me ming zi ？,gui suan xin 。,gui suan gai 。,liu hua xin 。,gui suan mei 。,D,electrical_engineering,engineering
dong quan shi yi biao zhong ， zu ni you shen me ti gong ？,xian quan de lv zhi kuang jia 。,fu zhuo zai dong quan shang de luo xuan tan huang 。,wo liu pan 。,mi feng shi zhong de zu ni ye pian 。,A,electrical_engineering,engineering
kai huan kong zhi xi tong de you dian zai yu,jian dan qie jing ji shi hui 。,zhun que 。,ke kao 。,yi shang dou shi 。,A,electrical_engineering,engineering
FM  dai biao,frequent modulation（ pin fan tiao zhi ）。,frequency modulation（ pin lv tiao zhi ）。,frequency moderator（ pin lv tiao jie qi ）。,frequent moderator（ pin fan tiao jie qi ）。,B,electrical_engineering,engineering
xi tong wu cha shi,huan jing wu cha 。,guan cha wu cha 。,yi biao wu cha 。,yi shang dou shi 。,D,electrical_engineering,engineering
yi xia na xiang shi wu yuan yuan jian ？,dian zu qi,deng pao,liang zhe dou shi,yi shang dou bu shi 。,C,electrical_engineering,engineering
yi xia na yi xiang zai  SCR  zhong yong yu fang zhi gao  dV / dt？,jian zhen dian lu 。,rong duan qi 。,jun heng dian lu 。,duan lu qi 。,A,electrical_engineering,engineering
LC  zhen dang qi yong yu chan sheng bo xing ， qi pin lv fan wei wei,1MHz  zhi  500 MHz,100 KHz  zhi  500 MHz,1 KHz  zhi  1 MHz,1MHz  zhi  100 GHz,A,electrical_engineering,engineering
biao shi shu ru dui kong zhi zi xi tong de ying xiang de fang kuang shi,shu ju kuang 。,luo ji kuang 。,pan ding kuang 。,zhuang tai kuang 。,C,electrical_engineering,engineering
zai qie huan mo shi xia ，JK  chu fa qi,J = 0，K = 0。,J = 1，K = 1。,J = 0，K = 1。,J = 1，K = 0。,B,electrical_engineering,engineering
ruo jing zha guan de bao chi dian liu wei  2 mA， ze suo cun dian liu ying wei,0.01 A。,0.002 A。,0.009 A。,0.004 A。,D,electrical_engineering,engineering
zai ji qi zhong shi yong bao ceng ya shi wei le jian shao,wo liu sun hao,ci zhi sun hao,A  he  B,tong sun,A,electrical_engineering,engineering
zai shi jin zhi shu zhi zhong ，MSD  shi shen me,cong zuo dao you de di yi ge shu zi,cong you dao zuo de di yi ge shu zi,zhong jian shu zi,suo you shu zi de ping jun zhi,A,electrical_engineering,engineering
zheng chang gong zuo de er ji guan bi xu,zai zheng xiang huo fan xiang pian zhi shi dian zu gao,zheng xiang pian zhi shi dian zu di ， fan xiang pian zhi shi dian zu gao,zheng xiang pian zhi shi dian zu gao ， fan xiang pian zhi shi dian zu di,zai zheng xiang huo fan xiang pian zhi shi dian zu di,B,electrical_engineering,engineering
zai zhi jing wei  1.2  mi de qiu ti biao mian shang ，2400  ping fang li mi mian ji suo dui de li ti jiao shi,3 / 2。,1 / 3。,2 / 3。,2 / 5。,C,electrical_engineering,engineering
yu pian zhuan xing yi qi xiang bi ， kong xing yi qi ju you,jiao di de ling min du 。,geng kuai de xiang ying 。,geng gao de zhun que du 。,yi shang dou shi 。,C,electrical_engineering,engineering
zai li - dian ya lei bi zhong ， xia lie na ge shi zhi liang dan yuan de lei bi liang ？,dian zu 。,dian gan 。,dian rong 。,yi shang dou shi 。,B,electrical_engineering,engineering
wu ge  5 µF  de dian rong chuan lian ， xi tong de deng xiao dian rong wei,5 µF,25 µF,10 µF,1 µF,D,electrical_engineering,engineering
dao ti zai ci chang zhong heng jie mian ji de bian hua hui ying xiang,dao ti de ci zu 。,dao ti de dian zu 。,(A)  he  (B)（ tong yang di ）。,yi shang dou bu shi 。,C,electrical_engineering,engineering
yi xia na ge shi ke bian wei yi chuan gan qi ？,zhuan su ji,dian wei ji,tong bu qi,yi shang dou bu shi,B,electrical_engineering,engineering
xia lie na yi ge shi you yuan yuan jian ？,dian ya yuan,dian ya yuan,liang zhe dou shi,yi shang dou bu shi 。,C,electrical_engineering,engineering
zhen dang qi de ba ke hao sen zhun ze,hui lu zeng yi ying wei yi,hui lu zeng yi ying xiao yu yi,fan kui xin hao xiang dui yu shu ru de xiang wei ying wei  0° huo  360°,A  he  C,D,electrical_engineering,engineering
di pin dian yuan shi zhi xin shi gan ying lu suo bi xu de ， yin wei,zai zheng chang pin lv xia ， dian ci li zai rong rong jin shu zhong yin qi ju lie de jiao ban zuo yong 。,zhu hui lu he ci hui lu zhi jian de ci ou he jiao cha 。,A  he  B。,yi shang dou bu shi 。,C,electrical_engineering,engineering
sheng ya zhan bo qi de shu ru dian ya wei  110  fu ， shu chu dian ya wei  150  fu 。 zhan kong bi de zhi wei,0.32。,0.67。,0.45。,0.27。,B,electrical_engineering,engineering
tong guo ci chang tong liang de bian hua lai kong zhi su du chan sheng de jie guo shi,heng gong lv qu dong,ding ju qu dong 。,ke bian gong lv qu dong 。,yi shang dou bu shi 。,A,electrical_engineering,engineering
zhi jing wei  d、 chang du wei  l  de dao ti de dian zu wei  R Ω。 ruo dao ti de zhi jing jian ban ， chang du jia bei ， ze dian zu wei,R Ω,2R Ω,4R Ω,8R Ω,C,electrical_engineering,engineering
song chi dian ya kong zhi zhen dang qi yong yu chan sheng,zheng xian bo,san jiao bo,ju chi bo,B  he  C,D,electrical_engineering,engineering
gao pin wo liu jia re tong chang cai yong de dian yuan pin lv wei,1 KHz。,5 KHz。,10 MHz。,10 KHz  zhi  400 KHz。,D,electrical_engineering,engineering
sheng chan huo dong he ren kou zai kong jian shang de ji zhong yi zao fu suo you ren ， zhe bei cheng wei,ti dai yuan ze 。,fan ji ju 。,ji ju 。,ji chu she shi 。,C,high_school_geography,geography
cong 1980 nian dao xian zai ， jin ru mei guo de yi min chao zhu yao you lai zi yi xia na ge di qu de yi min zu cheng ？？,ou zhou he bei fei,ya zhou he la ding mei zhou,sa ha la yi nan fei zhou he da yang zhou,zhong ou he ao da li ya,B,high_school_geography,geography
yi xia na xiang bu shi shi jie cheng shi de te zheng ？,shi jie cheng shi yong you xu duo kua guo gong si de zong bu 。,shi jie cheng shi yu er ji shi jie cheng shi lian xi jin mi 。,shi jie cheng shi you xu duo kua guo zu zhi de ban shi chu 。,shi jie cheng shi zhi cun zai yu bei ban qiu he xi ban qiu 。,D,high_school_geography,geography
yi xia na xiang shi tui dong yin su ？,dui xian you gong zuo bu man yi,qi ta di fang de gao xin gong zuo,qi ta di fang you xi yin li de tui xiu she qu,yi ren de qi hou,A,high_school_geography,geography
ju luo huo ji zhen de zhu yao mu di shi wei zhou bian shi chang qu yu ti gong shang pin he fu wu ， zhe yi li lun bei cheng wei,cheng shi deng ji li lun 。,zhong xin di li lun 。,tong xin qu mo shi 。,cheng shu xiao ying 。,B,high_school_geography,geography
na ge yu xi zai bei mei he ou zhou shi yong zui guang fan ， bao kuo bo luo di hai yu 、 kai er te yu 、 ri er man yu he xi la yu ？,da luo pi tu yu,wu la er - a er tai yu xi,han cang yu xi,yin ou yu xi,D,high_school_geography,geography
yi xia na ge qun ti bei pai chu zai yin du jiao zhong xing zhi du zhi wai ？,xue zhe - ji si,wu shi - di zhu,shang ren he nong min,jian min,D,high_school_geography,geography
wai wei guo jia de da duo shu gong ren ke neng shou gu cong shi na lei huo dong ？,di yi chan ye,di er chan ye,di san chan ye,di si chan ye,A,high_school_geography,geography
ni xi wang zai yi xia na ge mei guo cheng shi huan jing zhong zhao dao gui hua she qu ？,pin min qu,jiao qu,zhong yang shang wu qu,guo du qu,B,high_school_geography,geography
yi xia na xie yin su dui fa zhan zhong guo jia de si wang lv ying xiang hen xiao huo mei you ying xiang ？,xin yao wu,gai jin de jie yu fang fa,sha chong ji,ji huang jiu ji,B,high_school_geography,geography
jiang duo ge yi min qun ti rong he wei yi zhong zhu liu wen hua de “ da rong lu ” li lun bei cheng wei,rong he li lun 。,wen hua shi ying 。,min zu dao 。,min zu ju ju 。,A,high_school_geography,geography
yi xia na zhong zong jiao zui xian fa zhan qi lai ？,fo jiao,ji du jiao,yi si lan jiao,yin du jiao,D,high_school_geography,geography
zai bo ji si  (Burgess)  de tong xin qu yu mo xing zhong ， na ge qu yu hui you jiao hao de zhu zhai 、 du hu zhu zhai he zu jin jiao gao de gong yu ？,di yi qu,di er qu,di san qu,di si qu,C,high_school_geography,geography
mei ge she hui de jing ji fa zhan dou zun xun wu jie duan zeng zhang mo shi de li lun shi _____ ti chu de 。,luo si tuo  (Rostow),la wen shi tai yin  (Ravenstein),feng · tu ning  (Von Thünen),bo ji si  (Burgess),A,high_school_geography,geography
yi xia na ge bei mei guan lian shi bu zheng que de ？,dong nan bu  —  fei zhou yi mei guo ren,e ke la he ma zhou he xi nan bu  —  mei guo yuan zhu min,kui bei ke he mian yin zhou bei bu  —  fa yi mei guo ren he fa yi jia na da ren,nan bu cao yuan sheng fen  —  fei zhou yi mei guo ren,D,high_school_geography,geography
zao shang shang xue shi ， wo men dou yong yi xia na xiang zuo wei xiang dao ：,lan de - mai ke na li gong lu di tu ji 。,shi jie di qiu yi 。,lu xian tu 。,xin li di tu 。,D,high_school_geography,geography
zai kao lv cong yin du yi ju mei guo shi ， yi xia na xie yin su hui bei shi wei  Riva  de “ la dong ” yin su ？,chi pin,geng hao de gong zuo he geng gao de gong zi,yin du de zhong xing zhi du,jie qu bao li,B,high_school_geography,geography
yan hai an xian he he liu de zao qi ding ju dian he gao ren kou mi du de xing cheng yu yi xia na xiang zui you guan xi ？,di zhong hai qi hou,you xian de sen lin fu gai lv,zhi zao ye de fa zhan,mao yi tong dao,D,high_school_geography,geography
yi xia na xiang bu shi cheng shi nong ye de you shi ？,you zhu yu jie jue gu ti fei wu chu li wen ti,xiang ta ren chu shou xin xian nong chan pin,mei hua xuan nao de cheng qu,geng xin huo jing hua gong shui,D,high_school_geography,geography
da duo shu ou zhou yu yan shu yu na ge yu xi ？,wu la er - a er tai yu xi,ba si ke yu,yin ou yu xi,fei ni ji yu,C,high_school_geography,geography
lun ken zui chang jian yu _______,gao shan tai yuan 。,re dai sen lin 。,hong fan ping yuan 。,sha mo 。,B,high_school_geography,geography
yi xia na ge zu zhi bu shi chao guo jia zu zhi ？,lian he guo  (UN),bei yue  (NATO),dong meng  (ASEAN),ba jie zu zhi  (PLO),D,high_school_geography,geography
da xing gou wu zhong xin zhou wei xin kai de shang dian ti xian le na zhong gai nian ？,zhong li gai nian,ju li shuai jian,hu bu xing,yi dong pian cha,D,high_school_geography,geography
jin nian lai nan ya yu ji de bu gui ze xing ke neng hui dui yi xia na xiang chan sheng zhong da fu mian ying xiang ？,liang shi sheng chan,ren kou mo shi,ye sheng dong wu bao hu gong zuo,lv you ye,A,high_school_geography,geography
yi xia na xiang shi dong ou cheng shi de yi ge xian zhu te zheng ？,zhong yang gong yuan,zhu ming de zong jiao jian zhu,zheng fu he xing zheng da lou huan rao de da xing zhong yang guang chang,hao hua gong yu lou,C,high_school_geography,geography
yi xia na xiang bu shi yi jiao de li zi ？,wan sheng jie,wei ying he mei guo ren de kou wei er gai bian de wai guo mei shi,ha xi de you tai jiao,lu yi si an na zhou de tian zhu jiao,C,high_school_geography,geography
xin feng yin du jiao de ren zui you ke neng,bai fang jian zai hu bian de shen miao 。,mei tian qi dao wu ci 。,zai heng he zhong mu yu 。,qu ye lu sa leng chao sheng 。,C,high_school_geography,geography
yi xia na xiang chen shu bu shi dao zhi mei guo jiao qu hua de yin su ？,gong zuo zhou suo duan ， shi tong qin cheng wei ke neng 。,zhu fang di ya dai kuan fa gui de bian hua shi ren men geng rong yi yong you zhu fang 。,gu ding lu xian gong jiao xian lu de zhong yao xing zeng jia 。,qi che de gai jin shi jiao tong geng jia bian jie ， xian zhi geng shao 。,C,high_school_geography,geography
yi xia na ge di qu bu shi shi jie shang ren kou zui chou mi de di qu zhi yi ？,nan ya,ou zhou,nan mei,mei guo dong bei bu,C,high_school_geography,geography
ren he wen hua de bian ge dou shi tong guo yi xia suo you guo cheng shi xian de ， chu le,chuang xin 。,chuan bo 。,wen hua shi ying 。,zhong li 。,D,high_school_geography,geography
shui kong zhi le ou zhou da lu ， shui jiu neng tong zhi shi jie ， zhe zhong li lun bei cheng wei,quan li xia fang li lun 。,duo mi nuo gu pai li lun 。,zhong xin di dai li lun 。,bian yuan di dai li lun 。,C,high_school_geography,geography
yi xia na xiang bu shi chu kou jia gong qu  (EPZ)  de te dian ？,chu kou guan shui jian mian,yuan cai liao mian shui jin kou,mian chu guan shui,yan ge de wu ran fa gui,D,high_school_geography,geography
yi xia suo you yuan yin dou shi da cheng shi xi yin la ding mei zhou nian qing ren de yuan yin ， chu le,jiu ye ji hui 。,ti mian zhu fang de qian li 。,jiao yu ji hui 。,ta men de jia ren yi jing zai na li sheng huo 。,D,high_school_geography,geography
ru guo wo xiang ba yi xiao jian fei chang gui zhong de zhu bao yun gei zhu zai bo ji pu xi de gu gu ， na zhong yun shu fang shi zui he li ？,ka che,kong yun,lun chuan,tie lu,B,high_school_geography,geography
dang yi ge guo jia jiang zong jiao yu zheng fu jie he zai yi qi shi ， ta bei cheng wei,du cai 。,shen quan 。,min zhu 。,zhuan zhi 。,B,high_school_geography,geography
quan qiu tong yong yu yan shi,han yu 。,ying yu 。,fa yu 。,a la bo yu 。,B,high_school_geography,geography
yi xia na zhong qing kuang zui you ke neng chu xian ren kou ya li ？,zi ran zi yuan feng fu 、 liang shi da liang jin kou de gong ye she hui,nong ye bu men gao du ji xie hua de she hui,fei fu yu she hui,dao geng huo zhong de nong ye she hui,D,high_school_geography,geography
mei guo - mo xi ge bian jing de bian jie wen ti shi you yi xia na lei wen ti yin qi de ？,fei wo tu di de suo you quan,tu di shi yong quan,min zu tong yi zhu yi,yi min,D,high_school_geography,geography
yi ge di fang de jing wei du zuo biao jiu shi ______ de li zi,xing shi qu yu 。,gong neng qu yu 。,jue dui wei zhi 。,xiang dui wei zhi 。,C,high_school_geography,geography
ku er de ren zhu yao fen bu zai na ge guo jia ？,yi lang,yi la ke,tu er qi,ai ji,C,high_school_geography,geography
yi xia na xiang shi fa da guo jia de te zheng ？,chao guo  50%  de lao dong li cong shi nong ye sheng chan,fu nv zai she hui zhong chu yu lie shi di wei,zhu yao ji bing yu nian ling he sheng huo fang shi you guan,gao chu sheng lv he gao si wang lv,C,high_school_geography,geography
chu na ge yin su wai ， yi xia suo you yin su dou ke bei shi wei yi min de la dong yin su,an quan 。,geng hao de qi hou 。,geng hao de xue xiao 。,guo du yong ji 。,D,high_school_geography,geography
yi da li yu 、 xi ban ya yu 、 pu tao ya yu he luo ma ni ya yu shu yu na ge yu xi ？,ou zhou yu xi,si la fu yu xi,ri er man yu xi,luo man yu xi,D,high_school_geography,geography
Mary  zhu zai yi ge shang dian 、 ban gong shi he can guan dou hen jin de she qu ， ta bu xu yao yong you qi che ； dan shi ， ta jue de zi ji de yin si hen shao 。 zhe shi yi ge _____ li zi 。,shuang ying,quan heng,tian chong,kua yue shi fa zhan,B,high_school_geography,geography
xia lie na ge shou du cheng shi wei yu gai guo zhong bu he xin di qu zhi wai ？,ni ri li ya a bu jia,fa guo ba li,ying guo lun dun,ai ji kai luo,A,high_school_geography,geography
kou yu zhong ci hui 、 fa yin he jie zou de bian hua cheng wei,ju fa 。,tong yin yi yi 。,fa yu 。,fang yan 。,D,high_school_geography,geography
dang wo men tan lun wen hua te zhi di chuan bo shi ，“ lu tang ” zhi de shi shen me ？,mu di di,yuan dian,chuan bo lu jing shang de suo you di dian,zhou xin dian,B,high_school_geography,geography
ou zhou lian meng  (EU)  qu dai le yi xia na ge zu zhi ？,bei yue  (NATO),ou gong ti  (EEC),lian he guo  (UN),dong meng  (ASEAN),B,high_school_geography,geography
dang jin mei guo fa zhan zui xun su de zong jiao shi shen me ？,yi si lan jiao,ji du jiao,yin du jiao,fo jiao,A,high_school_geography,geography
a er bei si shan xi yi ji xi ou he zhong ou de bei bu ping yuan dong xi zou xiang de ying xiang zhi yi shi,jiang ou zhou de hai yang qi hou xian zhi zai yan hai di qu,wei nan ou he bei ou zhi jian de jiao liu ti gong le yi tiao zou lang,shi lei si hai yang de qi hou tiao jian xiang dong yan shen zhi de guo he bo lan,you xiao zu zhi le di zhong hai di qu ren kou de liu dong,C,high_school_geography,geography
xing bie cha ju ke neng yu nan xing / nv xing zai yi xia fang mian de cha yi you guan,he er meng,wei xian xing wei he zhi ye,xi yan bi li,yi shang jie shi,D,human_aging,health
yi ming yi qian jian kang de  27  sui nan xing fa xian yin jing shang you san ge wu chu tong de bing bian ，4  zhou hou ta qu kan yi sheng 。 ta shuo zhe xie bing bian da xiao mei you bian hua 。 ta yu duo ge nan xing he nv xing ban lv you xing xing wei ， bing qie bu ding qi shi yong bi yun tao 。 ta bu fu yong ren he yao wu 。 she jiao chang he ta hui he liang dao wu ping pi jiu 。 ta ou er xi shi da ma 。 ta de ti wen shi  36.9°C (98.4°F)。 wu lin ba jie bing bian 。 jian cha xian shi yin jing zhong zhou you san ge zhi jing  10  hao mi de wu di 、 rou se bing bian 。 zai xi shi de cu suan rong ye zuo yong xia ， bing bian bian bai 。 qi yu jian cha wei jian yi chang 。 xia lie na zhong hou xu zhi liao cuo shi zui he shi ？,kou fu a xi luo wei zhi liao,kou fu duo xi huan su zhi liao,qing mei su ji nei zhu she zhi liao,leng dong liao fa,D,professional_medicine,health
zai ou zhou ， na xie yao wu huo pi shang shi yong yu zhi liao fei pang ？,ao li si ta,fen te ming / tuo bi zhi,Lorcaserin,na qu tong / an fei ta tong,A,nutrition,health
jie shou zhao gu sheng ming zhi sheng  6  ge yue huo bu dao  6  ge yue de ren ， shi tu rang ta men dai zai jia li ， wei ta men ti gong zhi tong yao ， bing zhong zhi suo you yan chang sheng ming de shou duan ， zhe yang de ji hua bei cheng wei,an le si,leng dong liao fa,yi liao bao xian,lin zhong guan huai,D,human_aging,health
yi ming  33  sui de nv xing yin wei qing du e xin 、 niao pin niao ji he bian mi liang tian er lai jiu zhen 。 ta hai zai guo qu liang zhou nei ti zhong jian qing le  4.5  qian ke （10  bang ） bing you  3  zhou de yin dao chu xie shi 。 pen qiang jian cha xian shi gong jing jie jie ， hou chun bu gui ze qie yi sui ， yi ji yi ge jian ying 、 bu gui ze 、 gu ding de pen qiang zhong kuai ， heng kua gu pen 。 gong jing he yin dao qian bi huo jian biao ben jian cha xian shi fen hua liang hao de jiao hua lin zhuang xi bao ai 。 xia lie na xiang zui neng miao shu gai huan zhe ji bing de fa bing ji zhi ？,p53  ji yin shi huo,bing du qi dong zi cha ru dao xi bao sheng zhang yin zi ji yin pang,te shu zhuan dao,TAX  dui xi bao sheng zhang yin zi ji yin de fan shi ji huo,A,professional_medicine,health
wei de dao zhi liao de qu chi gu ji quan qiu huan bing lv shi duo shao ？,20%,40%,60%,80%,B,nutrition,health
zu zhuang shi bing du fu zhi de zhong yao hou qi jie duan ， tong chang xu yao xia lie na xiang wan cheng gai jie duan ？,shi yong xi bao he he xi bao zhi zhong de xi bao zhi jia,duo qu xi bao de zhi zhi he mo,bing du ji yin zu zhong qian ru de zong ti ji hua,xi bao he bing du dan bai zhi jian de sui ji xiang hu zuo yong,A,virology,health
yi wei  55  sui nan xing yin wei chi xu liang zhou chu xian de fu fa xing guang fan shui pao xing cheng er qian wang yi sheng chu 。 ti jian xian shi bing bian duo jian yu wan qu bu wei ， bao kuo ye wo he fu gu gou 。 shui pao bu rong yi po lie ， mei you kou qiang bing bian 。 zhe xie shui pao zui you ke neng shi xia lie na zhong wu zhi zhan fu shi bai yin qi de ？,ji di mo,zhen pi ru tou,lang ge han si xi bao,hei su xi bao,A,professional_medicine,health
yi wei  37  sui de ai zi bing  (AIDS)  nv xing huan zhe yin you  1  ge yue de jin zhan xing fu xie he  1.8  gong jin （4  bang ） ti zhong jian qing lai jiu zhen 。 guo qu yi zhou ， ta mei tian pai chu liu ci da liang xi bian 。 ta mu qian zheng zai jie shou san lian kang ni zhuan lu bing du zhi liao 。 ta shi yi ming kong jie ， ding qi zai mei guo guo nei hang ban gong zuo 。 ta mei yue fei wang ya zhou zhi shao yi ci 。 ta shen gao  163  li mi （5  ying chi  4  ying cun ）， ti zhong  59  gong jin （130  bang ）；BMI  shi  22 kg/m²。 huan zhe ti wen  37°C（98.6°F）， mai bo  88  ci / fen zhong ， xue ya  112/64 mm Hg。 fu bu ping tan 。 qi yu jian cha wu yi chang 。CD4+ T  lin ba xi bao ji shu wei  400/mm³（ zheng chang zhi ≥500）。 xia lie na zhong shi zui ke neng de zhi bing wei sheng wu ？,yin bao zi chong,ju xi bao bing du,niao - bao nei fen zhi gan jun fu he ti,chang yan sha men shi jun,A,professional_medicine,health
